ngram,count,z_score
bncbaby a,1,-0.30412378896591885
a sampling,1,-0.30412378896591885
sampling of,1,-0.30412378896591885
of the,83,23.535199452191353
the british,6,1.1494934818363538
british national,6,1.1494934818363538
national corpus,6,1.1494934818363538
corpus selection,1,-0.30412378896591885
selection design,1,-0.30412378896591885
design distribution,1,-0.30412378896591885
distribution research,1,-0.30412378896591885
research technologies,1,-0.30412378896591885
technologies service,1,-0.30412378896591885
service oxford,1,-0.30412378896591885
oxford university,2,-0.013400334805464332
university creation,1,-0.30412378896591885
creation of,2,-0.013400334805464332
of original,2,-0.013400334805464332
original bnc,1,-0.30412378896591885
bnc bnc,1,-0.30412378896591885
bnc consortium,4,0.5680465735154447
consortium oup,1,-0.30412378896591885
oup longman,1,-0.30412378896591885
longman ucrel,1,-0.30412378896591885
ucrel oucs,1,-0.30412378896591885
oucs chambers,1,-0.30412378896591885
chambers second,1,-0.30412378896591885
second edition,2,-0.013400334805464332
edition approximately,1,-0.30412378896591885
approximately four,1,-0.30412378896591885
four million,1,-0.30412378896591885
million words,2,-0.013400334805464332
words oxford,1,-0.30412378896591885
university computing,1,-0.30412378896591885
computing services,1,-0.30412378896591885
services 13,1,-0.30412378896591885
13 banbury,1,-0.30412378896591885
banbury road,1,-0.30412378896591885
road oxford,1,-0.30412378896591885
oxford ox2,1,-0.30412378896591885
ox2 6nn,1,-0.30412378896591885
6nn uk,1,-0.30412378896591885
uk telephone,1,-0.30412378896591885
telephone 44,1,-0.30412378896591885
44 1865,2,-0.013400334805464332
1865 273221,1,-0.30412378896591885
273221 facsimile,1,-0.30412378896591885
facsimile 44,1,-0.30412378896591885
1865 273275,1,-0.30412378896591885
273275 internet,1,-0.30412378896591885
internet mail,1,-0.30412378896591885
mail natcorpoucsoxacuk,1,-0.30412378896591885
natcorpoucsoxacuk bncb,1,-0.30412378896591885
bncb this,1,-0.30412378896591885
this version,1,-0.30412378896591885
version of,1,-0.30412378896591885
corpus is,4,0.5680465735154447
is licenced,1,-0.30412378896591885
licenced for,1,-0.30412378896591885
for distribution,1,-0.30412378896591885
distribution by,1,-0.30412378896591885
by oxford,1,-0.30412378896591885
oxford for,1,-0.30412378896591885
for information,1,-0.30412378896591885
